nombre_mots,longueur_moyenne,longueur_minimale,longueur_maximale,distribution_longueur,complexité_shannon,redondance,proportion_0,proportion_1,entropie_des_caracteres,distance_de_hamming_moyenne,est_code
9,4.555555555555555,2,7,"[0, 0, 1, 2, 1, 2, 2, 1]",0.9788698505067783,6,0.4146341463414634,0.5853658536585366,0.9788698505067783,3.75,False
3,4.666666666666667,3,7,"[0, 0, 0, 1, 1, 0, 0, 1]",1.0,1,0.5,0.5,1.0,5.0,True
2,2.5,2,3,"[0, 0, 1, 1, 0, 0, 0, 0]",0.9709505944546686,0,0.6,0.4,0.9709505944546686,3.0,True
8,4.0,2,7,"[0, 0, 2, 1, 3, 0, 1, 1]",0.9744894033980523,6,0.59375,0.40625,0.9744894033980523,3.75,False
6,5.166666666666667,3,7,"[0, 0, 0, 2, 0, 1, 1, 2]",0.9992492479956565,2,0.5161290322580645,0.4838709677419355,0.9992492479956565,4.333333333333333,True
1,3.0,3,3,"[0, 0, 0, 1, 0, 0, 0, 0]",0.9182958340544896,0,0.6666666666666666,0.3333333333333333,0.9182958340544896,0.0,True
5,4.4,2,7,"[0, 0, 1, 2, 0, 0, 0, 2]",0.9023932827949788,0,0.6818181818181818,0.3181818181818182,0.9023932827949788,4.2,True
8,5.25,3,7,"[0, 0, 0, 3, 0, 0, 2, 3]",0.998363672593813,3,0.5238095238095238,0.47619047619047616,0.998363672593813,4.285714285714286,False
4,1.5,1,2,"[0, 2, 2, 0, 0, 0, 0, 0]",0.9182958340544896,2,0.6666666666666666,0.3333333333333333,0.9182958340544896,1.3333333333333333,False
3,4.0,4,4,"[0, 0, 0, 0, 3, 0, 0, 0]",0.9798687566511528,0,0.4166666666666667,0.5833333333333334,0.9798687566511528,2.6666666666666665,True
1,4.0,4,4,"[0, 0, 0, 0, 1, 0, 0, 0]",-0.0,0,1.0,0.0,-0.0,0.0,True
4,3.75,3,5,"[0, 0, 0, 2, 1, 1, 0, 0]",0.9709505944546686,2,0.6,0.4,0.9709505944546686,3.0,True
7,3.7142857142857144,1,6,"[0, 1, 1, 2, 0, 1, 2, 0]",0.9957274520849255,5,0.46153846153846156,0.5384615384615384,0.9957274520849255,3.761904761904762,False
2,5.0,5,5,"[0, 0, 0, 0, 0, 2, 0, 0]",1.0,0,0.5,0.5,1.0,1.0,True
3,4.0,1,6,"[0, 1, 0, 0, 0, 1, 1, 0]",0.8112781244591328,2,0.75,0.25,0.8112781244591328,4.0,True
4,2.5,1,6,"[0, 2, 1, 0, 0, 0, 1, 0]",1.0,2,0.5,0.5,1.0,3.3333333333333335,False
4,4.5,2,6,"[0, 0, 1, 0, 1, 0, 2, 0]",1.0,1,0.5,0.5,1.0,4.166666666666667,True
8,4.0,1,7,"[0, 1, 1, 2, 1, 0, 2, 1]",0.9744894033980523,6,0.40625,0.59375,0.9744894033980523,4.035714285714286,False
1,7.0,7,7,"[0, 0, 0, 0, 0, 0, 0, 1]",0.5916727785823275,0,0.8571428571428571,0.14285714285714285,0.5916727785823275,0.0,True
7,4.0,3,5,"[0, 0, 0, 3, 1, 3, 0, 0]",0.9852281360342515,3,0.42857142857142855,0.5714285714285714,0.9852281360342515,2.5714285714285716,False
6,3.1666666666666665,1,6,"[0, 1, 2, 1, 0, 1, 1, 0]",0.9819407868640977,4,0.5789473684210527,0.42105263157894735,0.9819407868640977,3.466666666666667,False
8,3.625,1,7,"[0, 1, 2, 1, 2, 0, 1, 1]",0.9991421039919088,6,0.4827586206896552,0.5172413793103449,0.9991421039919088,3.75,False
9,3.7777777777777777,1,7,"[0, 3, 0, 1, 1, 2, 0, 2]",0.9975025463691153,6,0.47058823529411764,0.5294117647058824,0.9975025463691153,3.9166666666666665,False
1,2.0,2,2,"[0, 0, 1, 0, 0, 0, 0, 0]",1.0,0,0.5,0.5,1.0,0.0,True
